"Date","Price","Open","High","Low","Vol.","Change %"
"01/11/2023","54.900","54.760","55.035","54.760","0.31K","0.22%"
"01/10/2023","54.780","54.900","54.925","54.765","0.28K","-0.27%"
"01/09/2023","54.930","55.250","55.303","54.940","0.31K","-1.05%"
"01/06/2023","55.512","55.825","55.885","55.522","1.26K","-0.55%"
"01/05/2023","55.820","55.910","56.035","55.750","0.54K","-0.05%"
"01/04/2023","55.850","55.860","56.145","55.817","1.34K","-0.14%"
"01/03/2023","55.930","55.750","55.987","55.605","1.43K","0.41%"
"01/02/2023","55.700","55.590","55.903","55.590","0.23K","0.05%"
"12/30/2022","55.670","55.770","55.770","55.549","0.89K","-0.23%"
"12/29/2022","55.800","56.210","56.225","55.642","1.06K","-0.57%"
"12/28/2022","56.120","55.890","56.295","55.840","1.31K","0.48%"
"12/27/2022","55.850","55.190","55.950","55.138","0.64K","1.21%"
"12/26/2022","55.180","55.190","55.225","55.160","0.01K","-0.06%"
"12/23/2022","55.215","55.250","55.355","55.160","0.40K","0.03%"
"12/22/2022","55.200","55.115","55.225","55.028","0.19K","0.22%"
"12/21/2022","55.080","55.100","55.285","55.040","0.39K","-0.29%"
"12/20/2022","55.240","55.390","55.470","55.225","0.27K","-0.29%"
"12/19/2022","55.400","55.530","55.550","55.375","0.29K","-0.22%"
"12/16/2022","55.520","55.840","55.885","55.530","0.33K","-0.54%"
"12/15/2022","55.820","55.640","55.845","55.620","0.30K","0.22%"
"12/14/2022","55.700","55.675","55.830","55.620","0.13K","-0.18%"
"12/13/2022","55.800","55.570","55.930","55.570","0.16K","0.38%"
"12/12/2022","55.590","55.390","55.665","55.320","0.13K","0.43%"
"12/09/2022","55.350","55.310","55.390","55.160","0.19K","0.00%"
"12/08/2022","55.350","55.410","55.445","55.290","0.02K","-0.25%"
"12/07/2022","55.486","55.854","55.869","55.450","0.80K","-0.71%"
"12/06/2022","55.880","56.010","56.125","55.860","0.55K","-0.13%"
"12/05/2022","55.950","55.730","56.075","55.715","0.38K","0.45%"
"12/02/2022","55.700","56.245","56.245","55.720","0.23K","-0.94%"
"12/01/2022","56.230","56.555","56.555","56.115","0.29K","-0.43%"
"11/30/2022","56.470","56.570","56.570","56.467","0.01K","-0.16%"
"11/29/2022","56.560","56.630","56.750","56.510","0.12K","-0.04%"
"11/28/2022","56.580","56.720","56.885","56.590","0.12K","-0.19%"
"11/25/2022","56.690","56.610","56.850","56.610","0.12K","0.18%"
"11/24/2022","56.590","56.720","56.870","56.580","2.07K","-0.19%"
"11/23/2022","56.700","57.280","57.335","56.710","0.76K","-1.13%"
"11/22/2022","57.350","57.360","57.503","57.315","0.20K","-0.09%"
"11/21/2022","57.400","57.207","57.440","57.207","2.07K","0.24%"
"11/18/2022","57.260","57.450","57.450","57.170","1.88K","-0.31%"
"11/17/2022","57.440","57.430","57.535","57.270","1.90K","0.03%"
"11/16/2022","57.420","57.270","57.595","57.225","2.88K","0.28%"
"11/15/2022","57.260","57.230","57.480","57.130","1.61K","0.07%"
"11/14/2022","57.220","57.230","57.403","57.110","2.11K","0.05%"
"11/11/2022","57.190","57.280","57.595","57.130","0.54K","-0.14%"
"11/10/2022","57.270","58.050","58.255","57.240","0.54K","-1.31%"
"11/09/2022","58.030","58.110","58.225","57.810","0.58K","-0.12%"
"11/08/2022","58.100","58.410","58.435","58.030","0.37K","-0.60%"
"11/07/2022","58.450","58.410","58.610","58.385","2.38K","0.22%"
"11/04/2022","58.320","58.870","58.895","58.310","1.93K","-0.92%"
"11/03/2022","58.860","58.400","58.991","58.340","1.80K","0.80%"
"11/02/2022","58.390","58.200","58.525","58.085","1.65K","0.48%"
"11/01/2022","58.110","58.160","58.237","58.010","1.23K","0.05%"
"10/31/2022","58.080","57.990","58.347","57.910","1.09K","0.14%"
"10/28/2022","58.000","58.200","58.355","57.815","2.08K","-0.33%"
"10/27/2022","58.190","58.260","58.450","58.100","2.17K","-0.10%"
"10/26/2022","58.250","58.650","58.725","58.159","1.68K","-0.67%"
"10/25/2022","58.640","58.840","58.891","58.590","2.18K","-0.32%"
"10/24/2022","58.830","58.890","58.944","58.700","1.34K","-0.03%"
"10/21/2022","58.850","58.900","58.980","58.670","0.93K","-0.07%"
"10/20/2022","58.890","59.000","59.035","58.711","1.75K","-0.14%"
"10/19/2022","58.970","58.900","59.083","58.785","1.54K","0.22%"
"10/18/2022","58.840","58.940","58.998","58.755","1.66K","-0.15%"
"10/17/2022","58.930","59.000","59.028","58.865","2.01K","-0.10%"
"10/14/2022","58.990","58.910","59.103","58.880","1.05K","0.05%"
"10/13/2022","58.960","58.890","59.181","58.862","1.72K","0.10%"
"10/12/2022","58.900","58.820","59.002","58.810","1.13K","0.15%"
"10/11/2022","58.810","59.010","59.014","58.815","1.79K","-0.32%"
"10/10/2022","59.000","59.010","59.045","58.919","2.03K","-0.07%"
"10/07/2022","59.040","58.810","59.090","58.810","1.90K","0.41%"
"10/06/2022","58.800","58.670","58.890","58.535","1.46K","0.20%"
"10/05/2022","58.680","58.710","58.852","58.400","1.64K","0.12%"
"10/04/2022","58.610","58.900","58.975","58.579","1.29K","-0.48%"
